timestamp,camera,event,image
2026-03-09 01:27:48,cam0,no_vest,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-09_01-27-48.jpg
2026-03-09 03:56:42,cam0,no_vest,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-09_03-56-42.jpg
2026-03-09 15:36:26,cam0,no_vest,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-09_15-36-26.jpg
2026-03-09 15:44:22,cam0,no_vest,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-09_15-44-22.jpg
2026-03-09 15:48:02,cam0,no_vest,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-09_15-48-02.jpg
2026-03-09 15:48:12,cam0,no_vest,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-09_15-48-11.jpg
2026-03-09 20:01:48,cam0,no_vest,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-09_20-01-48.jpg
2026-03-13 16:41:27,cam0,no_vest,0.80,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-13_16-41-27.jpg
2026-03-13 17:49:01,cam0,no_vest,0.82,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-13_17-49-01.jpg
2026-03-13 17:49:24,cam0,no_vest,0.80,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-13_17-49-24.jpg
2026-03-13 17:51:38,cam0,no_vest,0.70,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-13_17-51-38.jpg
2026-03-14 15:56:26,cam0,no_vest,0.76,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-14_15-56-25.jpg
2026-03-14 15:56:38,cam0,no_vest,0.84,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-14_15-56-38.jpg
2026-03-16 22:16:02,cam0,no_vest,0.75,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-16_22-16-02.jpg
2026-03-17 11:48:16,cam0,no_vest,0.74,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_11-48-16.jpg
2026-03-17 11:48:41,cam0,no_vest,0.80,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_11-48-41.jpg
2026-03-17 11:49:11,cam0,no_vest,0.83,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_11-49-11.jpg
2026-03-17 13:25:38,cam0,no_vest,0.71,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-25-38.jpg
2026-03-17 13:27:12,cam0,no_vest,0.80,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-27-12.jpg
2026-03-17 13:27:36,cam0,no_vest,0.85,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-27-36.jpg
2026-03-17 13:27:49,cam0,no_vest,0.86,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-27-49.jpg
2026-03-17 13:28:09,cam0,no_vest,0.75,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-28-09.jpg
2026-03-17 13:28:24,cam0,no_vest,0.69,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-28-24.jpg
2026-03-17 13:28:42,cam0,no_vest,0.88,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-28-42.jpg
2026-03-17 13:29:05,cam0,no_vest,0.83,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-03-17_13-29-05.jpg
2026-04-12 22:23:52,cam0,no_vest,0.84,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-04-12_22-23-52.jpg
2026-04-16 14:35:55,cam0,no_vest,0.72,C:\Users\Shu\Desktop\vest-detection\alerts\no_vest_2026-04-16_14-35-55.jpg
2026-04-21 17:12:35,cam,no_vest,0.74,C:\Users\Shu\Desktop\vest-detection\alerts\alert_171235.jpg
